iter	RMSE
782	52.81265899
783	52.80911794
784	52.80845732
785	52.79350371
786	52.79166554
787	52.79098929
788	52.78846979
789	52.78726832
790	52.78364204
791	52.77571019
792	52.77462534
793	52.77311844
794	52.76627388
795	52.76566818
796	52.75925555
797	52.75807468
798	52.75640587
799	52.75541075
800	52.75349273
801	52.75294705
802	52.74505777
803	52.74381422
804	52.74318381
805	52.74201994
806	52.74133813
807	52.73002526
808	52.72939084
809	52.72820424
810	52.72772548
811	52.72664902
812	52.72245099
813	52.72178634
814	52.71680372
815	52.70534338
816	52.70303525
817	52.70262252
818	52.70117553
819	52.70005959
820	52.69917964
821	52.69832151
822	52.69290466
823	52.6903297
824	52.67385697
825	52.66506422
826	52.66210054
827	52.6615757
828	52.65932425
829	52.65872974
830	52.65753722
831	52.64290361
832	52.64031358
833	52.63292087
834	52.62558783
835	52.62414289
836	52.61920012
837	52.60146859
838	52.59508665
839	52.58831147
840	52.58802383
841	52.58587761
842	52.57762948
843	52.5769334
844	52.57044797
845	52.56463206
846	52.55741156
847	52.5565925
848	52.55029227
849	52.54405152
850	52.53738333
851	52.53122663
852	52.52956161
853	52.52925275
854	52.52859408
855	52.52215546
856	52.51474663
857	52.51251615
858	52.51026311
859	52.50737333
860	52.50634684
861	52.49965847
862	52.4991799
863	52.49822084
864	52.49765636
865	52.49707854
866	52.48871014
867	52.4875326
868	52.48688342
869	52.47859021
870	52.4776912
871	52.47527544
872	52.47418042
873	52.47348159
874	52.47218227
875	52.47161793
876	52.45223074
877	52.43706716
878	52.434631
879	52.41936379
880	52.41619187
881	52.40502099
882	52.39905448
883	52.3946833
884	52.38308301
885	52.38278436
886	52.38237717
887	52.38091134
888	52.36832753
889	52.3662945
890	52.36578399
891	52.36476265
892	52.35069334
893	52.34766707
894	52.33313422
895	52.33008011
896	52.32696225
897	52.32368817
898	52.31925242
899	52.31746468
900	52.31254566
901	52.29670536
902	52.29605976
903	52.29205546
904	52.29161195
905	52.28967125
906	52.28899193
907	52.28705674
908	52.28536971
909	52.28440405
910	52.28251575
911	52.28131853
912	52.27055435
913	52.27008771
914	52.2689162
915	52.25561393
916	52.24651707
917	52.24193189
918	52.24163036
919	52.22810061
920	52.22726939
921	52.22673232
922	52.21939933
923	52.21576759
924	52.21434819
925	52.20860355
926	52.2068339
927	52.20645002
928	52.19816864
929	52.19254982
930	52.19087246
931	52.19018945
932	52.18450046
933	52.17901149
934	52.17732058
935	52.17618169
936	52.17554598
937	52.1746531
938	52.16945717
939	52.16764366
940	52.16343283
941	52.16071157
942	52.16026186
943	52.15963213
944	52.15847134
945	52.15786859
946	52.14833783
947	52.14479086
948	52.13992741
949	52.13779322
950	52.13739692
951	52.13669579
952	52.13269534
953	52.13028405
954	52.12687257
955	52.12224137
956	52.12157305
957	52.12090719
958	52.12057327
959	52.10648425
960	52.10541536
961	52.10486339
962	52.0988698
963	52.09844569
964	52.0938169
965	52.09149376
966	52.08644
967	52.08609277
968	52.08410928
969	52.08366982
970	52.08325186
971	52.0827045
972	52.07555453
973	52.0745161
974	52.05845258
975	52.05270651
976	52.05157603
977	52.04207219
978	52.03652397
979	52.0359935
980	52.03020391
981	52.02804569
982	52.02694627
983	52.02254955
984	52.01474101
985	52.01430169
986	52.0137262
987	52.01328141
988	52.00704783
989	52.00105923
990	52.00045696
991	51.99763754
992	51.99132238
993	51.97951933
994	51.97802336
995	51.97286925
996	51.96552484
997	51.9638572
998	51.95781994
999	51.94421926
